name,Lat,Long
AIC009,35.0812,137.1464
AIC012,34.9119,137.0447
AKT014,39.5950,140.5554
AKT018,39.1939,140.1902
AKT021,39.9950,140.4031
AKT023,39.1462,140.7170
AOM005,41.2948,141.1972
AOM010,40.8721,141.1416
AOM011,40.6803,141.3669
AOM013,40.4124,141.2800
AOM014,40.4371,140.9406
AOM015,40.4738,140.6306
AOM018,40.7782,140.1976
AOM020,40.8193,140.7501
AOM021,40.6152,141.2080
AOM027,41.1453,140.8219
CHB006,35.7801,140.3067
CHB011,35.6021,140.5014
CHB015,35.3738,139.9159
CHB029,35.6947,139.9176
FKI007,35.6447,136.0575
FKI010,35.4904,135.5510
FKS007,37.4061,140.9632
FKS008,37.4363,140.5668
FKS008,37.4363,140.5668
FKS010,37.2342,141.0016
FKS017,37.2842,140.3689
FKS023,37.4774,139.9294
FKS024,37.3957,140.1325
FKS025,37.3077,139.9000
FKS028,37.3491,139.3144
FKS028,37.3491,139.3144
GIF003,36.3322,137.3014
GIF005,36.1536,137.2514
GIF006,36.0333,136.9528
GIF008,35.9515,137.2600
GIF019,35.4495,137.4039
GIF022,35.2834,136.4715
GNM003,36.6578,139.0784
GNM007,36.4619,139.0101
GNM013,36.3181,139.0176
HKD003,45.1030,141.7667
HKD006,45.1266,142.3519
HKD014,45.2519,141.8541
HKD017,44.5323,141.7664
HKD017,44.5323,141.7664
HKD018,44.5453,141.9653
HKD027,44.4806,142.3427
HKD028,44.3598,142.4547
HKD033,43.9090,142.5695
HKD034,43.8543,142.7686
HKD037,43.5885,142.4675
HKD040,42.9805,142.3995
HKD041,43.6249,142.6837
HKD050,43.8785,143.1747
HKD053,43.7849,143.6072
HKD054,43.7996,143.9008
HKD058,44.0201,144.2729
HKD062,43.6746,143.3088
HKD064,44.0202,145.1886
HKD068,43.4108,144.7704
HKD069,43.3941,145.1168
HKD070,43.3852,145.2840
HKD075,43.0767,145.1296
HKD077,42.9845,144.3824
HKD083,43.2330,144.3248
HKD086,42.8542,143.8579
HKD104,42.5886,142.1310
HKD105,42.4825,142.0543
HKD110,42.1306,142.9353
HKD113,42.1287,143.3153
HKD114,44.2806,142.1612
HKD122,43.1968,141.7754
HKD123,42.9933,142.0085
HKD126,42.5750,141.9279
HKD127,42.8741,141.8204
HKD128,42.7655,141.8221
HKD130,42.5627,141.3499
HKD132,42.3483,141.0319
HKD136,42.5894,140.6436
HKD138,43.2921,140.6014
HKD140,43.1907,140.9935
HKD154,42.0963,140.5633
HKD160,41.7701,140.7383
HKD166,42.2286,139.8184
HKD181,43.1161,141.5462
HKD184,42.7900,141.6010
HKD185,42.7755,141.4021
IBR001,36.7761,140.3569
IBR004,36.5516,140.4102
IBR016,35.9112,140.0494
IBR017,35.9537,140.3194
IWT001,40.4099,141.7191
IWT022,40.1011,141.0523
IWT023,40.0366,141.4502
KNG003,35.2727,139.6579
KNG003,35.2727,139.6579
KNG008,35.5751,139.3265
KNG008,35.5751,139.3265
KNG011,35.6154,139.1548
KYT004,35.5354,135.1960
KYT013,34.8784,135.8047
MIE002,35.0279,136.5073
MIE003,34.9704,136.6357
MIE004,34.8569,136.4493
MIE008,34.6285,136.1073
MIE010,34.4908,136.7334
MIE016,33.8764,135.9188
MIE018,34.8702,136.4546
MYG001,38.9015,141.5684
MYG002,38.7262,141.5109
MYG011,38.3022,141.5079
MYG012,38.3175,141.0193
MYG013,38.2663,140.9293
MYG016,38.0085,140.6210
NAR002,34.6683,135.8352
NAR003,34.5169,135.7191
NAR004,34.5280,135.9512
NAR008,34.1352,136.0046
NGN001,36.8514,138.3660
NGN001,36.8514,138.3660
NGN006,36.5086,137.8507
NGN007,36.5339,138.1191
NGN013,36.1833,137.7852
NGN014,36.0956,138.4844
NGN018,35.8132,137.5295
NGN019,35.8562,137.7078
NGN020,35.8282,137.9532
NGN024,35.5232,137.8374
NIG007,38.2301,139.4864
NIG008,38.0530,139.4055
NIG020,37.2332,138.9620
NIG022,37.0364,138.8462
OSK002,34.8573,135.5958
OSK005,34.7255,135.5099
OSK007,34.5577,135.6058
SIG002,35.4215,136.0243
SIG004,35.3476,135.9184
SIG004,35.3476,135.9184
SIG005,35.2493,136.2421
SIG008,35.0701,136.2946
SIT002,36.1476,139.3884
SIT004,36.1179,139.1045
SIT004,36.1179,139.1045
SIT009,35.9034,139.4826
SIT010,35.9065,139.6481
SIT013,35.7965,139.4659
SIT013,35.7965,139.4659
SZO012,35.1271,138.6213
SZO013,35.0410,138.4760
SZO022,35.0916,137.8136
SZO028,34.9524,139.1378
TCG003,36.8144,139.7153
TCG006,36.7639,140.1297
TCG009,36.7258,139.7155
TCG010,36.6347,139.4376
TCG010,36.6347,139.4376
TCG012,36.2859,139.8047
TCG013,36.4368,140.0225
TCG016,36.5287,140.1557
TCG016,36.5287,140.1557
TKS001,34.2030,134.6098
TKY003,35.7968,139.2912
TKY003,35.7968,139.2912
TKY008,34.7852,139.3909
TKY010,34.3779,139.2573
TKY020,35.6657,139.8087
TKY025,35.7138,139.8971
TKY026,35.6704,139.8635
TKY028,35.6685,139.7893
TTR002,35.4853,134.2198
TYM001,36.9760,137.6257
TYM001,36.9760,137.6257
TYM002,36.8660,136.9747
TYM003,36.8163,137.4192
TYM007,36.6687,137.2123
WKY001,34.2288,135.1694
WKY006,33.8908,135.1524
WKY009,33.7209,135.9813
YMN006,35.4684,138.6069
YMN007,35.2791,138.4649
YMN011,35.6382,138.3835
YMN011,35.6382,138.3835
YMT009,38.3898,140.2743
